,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-11,,19.54291343688965,40.047706604003906,10.052059173583984,37.90116500854492,,,22.875,58.5234375,15.874444007873535,47.74848937988281,,,23.0,59.83906173706055,16.218887329101562,49.048187255859375,,,22.604999542236328,58.125,15.778887748718262,47.51639938354492,,,22.69499969482422,59.375,16.218887329101562,48.584007263183594,,,300730,38867520,4895325.0,15701134.0,
2002-02-12,,19.726598739624023,40.1450080871582,9.892348289489746,37.974849700927734,,,23.09000015258789,58.665626525878906,15.622221946716309,47.84132385253906,,,23.399999618530273,59.49531173706055,15.819999694824219,48.661373138427734,,,22.959999084472656,58.25156021118164,15.577776908874512,47.60923385620117,,,23.06999969482422,58.921875,15.777776718139648,47.96510314941406,,,416370,26924736,3428055.0,18680262.0,
2002-02-13,,19.641162872314453,40.50906753540039,9.874054908752441,38.073097229003906,,,22.989999771118164,59.197654724121094,15.59333324432373,47.96510314941406,,,23.200000762939453,60.365623474121094,15.777776718139648,48.429283142089844,,,22.704999923706055,58.78125,15.533332824707031,47.84906005859375,,,23.149999618530273,59.21875,15.583333015441895,47.96510314941406,,,312740,42209536,3947805.0,21878681.0,
2002-02-14,,19.50874137878418,40.995033264160156,9.983108520507812,38.26348114013672,,,22.834999084472656,59.90781021118164,15.765555381774902,48.20492935180664,,,23.200000762939453,61.328125,15.888888359069824,48.955352783203125,,,22.704999923706055,59.48515701293945,15.600000381469727,47.98057556152344,,,22.850000381469727,60.4375,15.888888359069824,48.336448669433594,,,540110,21775936,4633785.0,12970199.0,
2002-02-15,,19.9529972076416,41.0228385925293,10.218806266784668,38.76087951660156,,,23.354999542236328,59.94843673706055,16.13777732849121,48.83156967163086,,,23.700000762939453,60.53125,16.307777404785156,49.481422424316406,,,22.899999618530273,59.609375,15.824443817138672,48.14303970336914,,,23.0,60.15625,15.833333015441895,48.429283142089844,,,1977900,21985472,30488895.0,32156582.0,
2002-02-18,,21.2259578704834,39.874488830566406,10.506571769714355,39.14775085449219,,,24.844999313354492,58.27031326293945,16.592222213745117,49.3189582824707,,,25.489999771118164,59.65625,16.70777702331543,49.79087448120117,,,23.899999618530273,57.92343521118164,15.933333396911621,48.93988037109375,,,24.469999313354492,59.65625,16.08888816833496,49.20291519165039,,,2988460,22691968,25056900.0,22971392.0,
2002-02-19,,20.093961715698242,39.638187408447266,10.546675682067871,39.40566635131836,,,23.520000457763672,57.92499923706055,16.655555725097656,49.643882751464844,,,24.979999542236328,59.140625,16.799999237060547,49.97654342651367,,,23.5,57.46875,16.44444465637207,49.280277252197266,,,24.850000381469727,58.59765625,16.682222366333008,49.543312072753906,,,982780,26101504,25109235.0,18468339.0,
2002-02-20,,20.187938690185547,39.022857666015625,10.246247291564941,38.938961029052734,,,23.6299991607666,57.025779724121094,16.181110382080078,49.05592346191406,,,24.5,57.65625,16.66666603088379,49.27254104614258,,,23.350000381469727,56.421875,16.11111068725586,48.452491760253906,,,23.5,56.71875,16.44444465637207,49.12554931640625,,,451990,21700800,12450285.0,11942105.0,
2002-02-21,,20.217838287353516,39.11374282836914,10.379223823547363,38.613502502441406,,,23.665000915527344,57.158592224121094,16.391111373901367,48.64590072631836,,,24.25,58.49687576293945,16.494443893432617,49.667091369628906,,,23.5,56.953125,15.888888359069824,48.35192108154297,,,24.084999084472656,58.109375,16.11111068725586,49.26480484008789,,,339290,25527616,12086010.0,9128340.0,
2002-02-22,,21.093538284301758,39.533416748046875,10.538235664367676,38.67491149902344,,,24.690000534057617,57.771873474121094,16.642221450805664,48.723262786865234,,,24.84000015258789,58.34375,16.66666603088379,48.79288864135742,,,23.799999237060547,56.4375,16.2277774810791,48.367393493652344,,,23.80500030517578,56.703125,16.333332061767578,48.429283142089844,,,1196420,24593024,15515640.0,5385321.0,
2002-02-25,,20.72189712524414,40.054115295410156,10.222328186035156,38.650352478027344,,,24.2549991607666,58.53281021118164,16.143333435058594,48.692317962646484,,,25.5,58.90156173706055,16.639999389648438,49.00950622558594,,,24.0049991607666,57.22421646118164,16.114444732666016,48.429283142089844,,,25.5,57.796875,16.559999465942383,48.76968002319336,,,891320,24080192,5969340.0,5584124.0,
2002-02-26,,20.179397583007812,41.02658462524414,10.189964294433594,39.46707534790039,,,23.6200008392334,59.95390701293945,16.092222213745117,49.72124481201172,,,24.579999923706055,60.27656173706055,16.355554580688477,50.13127136230469,,,23.40999984741211,58.671875,16.0,48.83156967163086,,,24.1200008392334,58.830467224121094,16.311111450195312,49.110076904296875,,,1076780,31268096,7909830.0,18668202.0,
2002-02-27,,20.239200592041016,41.00412368774414,10.2842435836792,40.007469177246094,,,23.690000534057617,59.92109298706055,16.241111755371094,50.402042388916016,,,24.094999313354492,60.9375,16.31999969482422,51.09830856323242,,,23.309999465942383,59.375,16.00666618347168,49.24159622192383,,,23.600000381469727,60.3125,16.155555725097656,50.13127136230469,,,897960,30092928,10534725.0,46625707.0,
2002-02-28,,19.9572696685791,37.77882385253906,10.458024024963379,37.809043884277344,,,23.360000610351562,55.20781326293945,16.515554428100586,47.632442474365234,,,24.489999771118164,59.84375,16.655555725097656,50.95905685424805,,,22.899999618530273,54.515625,15.666666030883789,47.19921112060547,,,23.90999984741211,59.84375,16.281110763549805,50.56450271606445,,,1707600,54657216,82452915.0,38618676.0,
2002-03-01,,20.205020904541016,38.64702606201172,10.668394088745117,39.58374786376953,,,23.649999618530273,56.4765625,16.847776412963867,49.86823654174805,,,23.899999618530273,57.015625,17.392221450805664,50.23957824707031,,,23.100000381469727,54.609375,16.44444465637207,47.23015594482422,,,23.200000762939453,54.84375,16.822221755981445,47.6556510925293,,,585190,29193024,39260025.0,29184893.0,
2002-03-04,,20.179397583007812,38.97312927246094,10.288464546203613,38.52138137817383,,,23.6200008392334,56.953125,16.247777938842773,48.52985382080078,,,24.075000762939453,58.75,16.996665954589844,52.60688781738281,,,23.100000381469727,56.59687423706055,16.177776336669922,48.27455520629883,,,24.075000762939453,57.8125,16.822221755981445,51.678531646728516,,,580750,32084096,19995615.0,73299467.0,
